song_name,song_popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,audio_valence,artist_name,album_names,playlist,label,tag
1412,50,0.303,0.914,0.245,0.48200000000000004,4,0.107,0.7252001090377419,0.41100000000000003,0.3631261400308686,4,0.648,Afluen,ELASTIC CONSTANT.,Lush Lofi,0,Happy
1435,0,0.0616,0.58,0.353,4.3e-05,0,0.128,0.7303794017792977,0.0265,0.5859531689763039,4,0.242,Selfish Things,1435,You & Me,0,Sad
1901,66,0.0588,0.607,0.835,4.71e-05,0,0.195,0.8262334894555547,0.0415,0.5946194669814048,4,0.7190000000000001,Phoenix,Wolfgang Amadeus Phoenix,Alternative 00s,1,Happy
1901,68,0.0564,0.604,0.825,5.7999999999999994e-05,0,0.192,0.8275716799246648,0.0429,0.594611213364257,4,0.7070000000000001,Phoenix,Wolfgang Amadeus Phoenix,Epic Workout,1,Happy
1901,68,0.0564,0.604,0.825,5.7999999999999994e-05,0,0.192,0.8275716799246648,0.0429,0.594611213364257,4,0.7070000000000001,Phoenix,Wolfgang Amadeus Phoenix,Power Run 145 BPM,1,Happy
1901,68,0.0564,0.604,0.825,5.7999999999999994e-05,0,0.192,0.8275716799246648,0.0429,0.594611213364257,4,0.7070000000000001,Phoenix,Wolfgang Amadeus Phoenix,Rock Me UP!,1,Happy
1942,81,0.0152,0.8170000000000001,0.6459999999999999,0.0,4,0.125,0.8338413500854955,0.249,0.672248863064238,4,0.835,G-Eazy,1942,Cali Fire,1,Happy
1942,81,0.0152,0.8170000000000001,0.6459999999999999,0.0,4,0.125,0.8338413500854955,0.249,0.672248863064238,4,0.835,G-Eazy,1942,Get Turnt,1,Happy
1942,81,0.0152,0.8170000000000001,0.6459999999999999,0.0,4,0.125,0.8338413500854955,0.249,0.672248863064238,4,0.835,G-Eazy,1942,Hip Hop Made Me,1,Happy
1942,49,0.0202,0.821,0.629,0.0,4,0.0925,0.8337174435605779,0.271,0.6725583737072772,4,0.816,G-Eazy,1942,NTC_ Gym Strong,1,Happy
1950,83,0.648,0.6,0.535,4.7e-06,4,0.162,0.7861869006021858,0.107,0.29676705816324006,4,0.26899999999999996,King Princess,1950,Confidence Boost,0,Sad
1950,83,0.648,0.6,0.535,4.7e-06,4,0.162,0.7861869006021858,0.107,0.29676705816324006,4,0.26899999999999996,King Princess,1950,Happy Hits!,0,Sad
1950,83,0.648,0.6,0.535,4.7e-06,4,0.162,0.7861869006021858,0.107,0.29676705816324006,4,0.26899999999999996,King Princess,1950,Left of Center,0,Sad
1950,66,0.653,0.5589999999999999,0.53,4.3e-06,4,0.11699999999999999,0.7840061457636359,0.0941,0.29654008369167795,4,0.256,King Princess,Make My Bed,Now Hear This,0,Sad
1950,83,0.648,0.6,0.535,4.7e-06,4,0.162,0.7861869006021858,0.107,0.29676705816324006,4,0.26899999999999996,King Princess,1950,Out Now,0,Sad
1950,83,0.648,0.6,0.535,4.7e-06,4,0.162,0.7861869006021858,0.107,0.29676705816324006,4,0.26899999999999996,King Princess,1950,Pop Sauce,0,Sad
1950,83,0.648,0.6,0.535,4.7e-06,4,0.162,0.7861869006021858,0.107,0.29676705816324006,4,0.26899999999999996,King Princess,1950,Soft Pop Hits,0,Sad
1950,83,0.648,0.6,0.535,4.7e-06,4,0.162,0.7861869006021858,0.107,0.29676705816324006,4,0.26899999999999996,King Princess,1950,Women of Pop,0,Sad
1957,63,0.6629999999999999,0.38799999999999996,0.595,5.5799999999999994e-05,1,0.17800000000000002,0.7178896240676034,0.0325,0.7842710818015997,4,0.596,Milo Greene,Milo Greene,Happy Folk,2,Happy
1975,49,0.6409999999999999,0.66,0.40700000000000003,1.22e-05,2,0.0622,0.7378633558843208,0.0613,0.49494465949702465,4,0.324,Billy Raffoul,1975,Mellow Pop,0,Energetic
1977,42,0.00448,0.6779999999999999,0.687,0.00041900000000000005,2,0.0847,0.7821475478898718,0.0401,0.42987314190443965,4,0.527,Ana Tijoux,1977,Made in Chile,2,Happy
1979,19,0.0218,0.768,0.7440000000000001,0.7120000000000001,8,0.063,0.6815106683517953,0.0338,0.5242532539885606,4,0.963,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness,90s Acoustic,1,Happy
1979,54,0.81,0.688,0.36700000000000005,0.0,8,0.102,0.775630064679206,0.027000000000000003,0.49508909779710963,4,0.213,High Dive Heart,Grunge Lullaby,Country Coffeehouse,0,Sad
1983,51,0.000105,0.47,0.978,0.0,10,0.0994,0.864099323470374,0.174,0.6314594871202306,4,0.731,Neon Trees,Habits,Just Get Going! 155 BPM,1,Happy
1985,61,0.000246,0.607,0.878,0.0,4,0.337,0.8511387009639928,0.0665,0.49503132247707565,4,0.853,Bowling For Soup,A Hangover You Don't Deserve,Guilty Pleasures,1,Happy
1985,70,0.000242,0.606,0.887,0.0,4,0.337,0.8515847644536961,0.0598,0.4951097318399789,4,0.903,Bowling For Soup,A Hangover You Don't Deserve,Hella Good New Millenia Hits,1,Happy
1999,81,0.0227,0.7390000000000001,0.742,1.39e-06,7,0.22899999999999998,0.8470745669466954,0.0329,0.511790292095511,4,0.659,Charli XCX,1999,Out Now,1,Happy
1999,81,0.0227,0.7390000000000001,0.742,1.39e-06,7,0.22899999999999998,0.8470745669466954,0.0329,0.511790292095511,4,0.659,Charli XCX,1999,Pop Rising,1,Happy
1999,81,0.0227,0.7390000000000001,0.742,1.39e-06,7,0.22899999999999998,0.8470745669466954,0.0329,0.511790292095511,4,0.659,Charli XCX,1999,Pop Royalty,1,Happy
1999,81,0.0227,0.7390000000000001,0.742,1.39e-06,7,0.22899999999999998,0.8470745669466954,0.0329,0.511790292095511,4,0.659,Charli XCX,1999,Pop Sauce,1,Happy
1999,81,0.0227,0.7390000000000001,0.742,1.39e-06,7,0.22899999999999998,0.8470745669466954,0.0329,0.511790292095511,4,0.659,Charli XCX,1999,Radio 1 Playlist (BBC),1,Happy
1999,81,0.0227,0.7390000000000001,0.742,1.39e-06,7,0.22899999999999998,0.8470745669466954,0.0329,0.511790292095511,4,0.659,Charli XCX,1999,Teen Party,1,Happy
1999,81,0.0227,0.7390000000000001,0.742,1.39e-06,7,0.22899999999999998,0.8470745669466954,0.0329,0.511790292095511,4,0.659,Charli XCX,1999,Today's Top Hits,1,Happy
1999,81,0.0227,0.7390000000000001,0.742,1.39e-06,7,0.22899999999999998,0.8470745669466954,0.0329,0.511790292095511,4,0.659,Charli XCX,1999,Tomorrow's Hits,1,Happy
1999,81,0.0227,0.7390000000000001,0.742,1.39e-06,7,0.22899999999999998,0.8470745669466954,0.0329,0.511790292095511,4,0.659,Charli XCX,1999,Young & Free,1,Happy
2002,87,0.0372,0.6970000000000001,0.6829999999999999,0.0,1,0.13699999999999998,0.8893266919435977,0.11699999999999999,0.3967224886306424,4,0.603,Anne-Marie,2002,Happy Hits!,1,Happy
2002,85,0.0372,0.6970000000000001,0.6829999999999999,0.0,1,0.13699999999999998,0.8893266919435977,0.11699999999999999,0.3967224886306424,4,0.603,Anne-Marie,Speak Your Mind (Deluxe),Mega Hit Mix,1,Happy
2002,87,0.0372,0.6970000000000001,0.6829999999999999,0.0,1,0.13699999999999998,0.8893266919435977,0.11699999999999999,0.3967224886306424,4,0.603,Anne-Marie,2002,NTC_ Gym Strong,1,Happy
2002,85,0.0372,0.6970000000000001,0.6829999999999999,0.0,1,0.13699999999999998,0.8893266919435977,0.11699999999999999,0.3967224886306424,4,0.603,Anne-Marie,Speak Your Mind (Deluxe),Teen Party,1,Happy
2002,87,0.0372,0.6970000000000001,0.6829999999999999,0.0,1,0.13699999999999998,0.8893266919435977,0.11699999999999999,0.3967224886306424,4,0.603,Anne-Marie,2002,Wake Up Happy,1,Happy
2002,87,0.0372,0.6970000000000001,0.6829999999999999,0.0,1,0.13699999999999998,0.8893266919435977,0.11699999999999999,0.3967224886306424,4,0.603,Anne-Marie,2002,Women of Pop,1,Happy
24-Jul,61,0.0024100000000000002,0.615,0.74,0.0011300000000000001,7,0.115,0.8451911877679479,0.0754,0.4909127675203659,4,0.21899999999999997,The Neighbourhood,Hard - EP,Wild Cards_ Winter Mix,2,Sad
